city,day,maxtemp_c,mintemp_c,avgtemp_c,maxwind_kph,totalprecip_mm,avgvis_km,avghumidity,uv,text,icon
Plock,2020-06-18,25.3,16.5,23.2,15.8,27.6,8.0,83.0,0.0,Torrential rain shower,//cdn.weatherapi.com/weather/64x64/day/359.png
Krotoszyn,2019-12-26,4.7,3.8,4.1,21.6,5.0,8.5,88.0,0.0,Light sleet showers,//cdn.weatherapi.com/weather/64x64/day/362.png
Krotoszyn,2016-12-29,1.8,-1.3,-0.3,10.4,0.0,10.0,83.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Rawicz,2019-09-16,14.3,10.9,13.5,15.5,1.5,9.9,71.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Kutno,2018-08-06,24.1,15.4,22.1,17.6,0.5,10.0,66.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Bialystok,2019-09-20,11.9,4.5,9.4,18.7,0.3,9.9,71.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Kutno,2020-09-04,19.1,11.3,16.1,17.6,1.1,9.9,84.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Plock,2019-01-02,3.6,-0.2,1.8,37.1,3.3,3.0,72.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Kutno,2018-08-31,20.8,14.4,18.2,18.0,1.3,10.0,78.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Plock,2018-02-05,-1.9,-3.4,-2.7,17.3,0.5,9.3,61.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Wroclaw,2017-05-04,15.3,8.3,12.0,7.9,1.0,7.0,87.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Jarocin,2019-05-13,12.9,4.6,10.4,19.4,1.5,9.8,69.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Jarocin,2017-03-28,17.7,5.3,12.9,13.3,0.0,10.0,70.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Szczecin,2016-11-04,7.8,2.3,5.4,15.5,7.1,8.4,89.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Krotoszyn,2018-02-04,1.7,-0.6,0.6,11.2,3.2,4.5,87.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Pleszew,2021-02-25,14.0,6.6,10.8,13.3,0.0,10.0,73.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Wroclaw,2020-04-01,7.7,-2.2,4.3,16.9,0.0,10.0,62.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Krotoszyn,2018-02-11,1.3,-3.1,-0.4,16.9,0.1,9.4,73.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Plock,2020-03-30,4.1,-2.5,1.8,20.9,0.4,9.6,54.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Krotoszyn,2020-04-06,16.8,4.3,12.9,22.7,0.0,10.0,55.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Belchatow,2018-06-18,24.0,17.6,22.6,15.8,5.2,9.4,69.0,0.0,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png
Belchatow,2017-06-02,22.2,10.1,19.3,16.2,0.0,10.0,55.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Szczecin,2019-07-12,20.9,13.0,17.9,8.3,3.8,7.6,83.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Belchatow,2017-06-17,13.6,11.5,13.0,20.2,2.0,9.0,91.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Krotoszyn,2020-04-13,10.9,3.5,9.6,27.7,4.4,9.4,70.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Pleszew,2019-01-11,-0.4,-4.1,-2.0,23.4,0.8,8.9,90.0,0.0,Heavy snow,//cdn.weatherapi.com/weather/64x64/day/338.png
Jarocin,2018-01-19,0.9,-0.2,0.6,40.3,0.9,6.8,92.0,0.0,Light snow showers,//cdn.weatherapi.com/weather/64x64/day/368.png
Jarocin,2018-07-07,22.9,12.4,20.1,19.8,0.0,10.0,68.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Bialystok,2018-08-22,24.2,9.9,19.7,11.2,0.0,10.0,64.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Kutno,2019-02-03,1.8,0.0,0.9,16.6,15.3,5.5,94.0,0.0,Moderate rain,//cdn.weatherapi.com/weather/64x64/day/302.png
Wroclaw,2019-05-21,21.6,11.8,18.8,8.6,1.3,9.8,78.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lublin,2020-08-11,25.2,17.4,23.0,14.0,4.7,9.6,77.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Pleszew,2018-03-05,3.5,-3.5,0.7,21.2,0.2,10.0,68.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Szczecin,2018-03-06,5.3,-1.6,2.4,12.6,0.8,9.9,78.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Kutno,2018-01-04,6.9,4.0,6.0,32.0,3.2,9.8,77.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Lublin,2020-07-04,22.8,14.0,20.4,11.9,0.3,8.0,78.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Lodz,2018-08-01,30.9,20.2,28.2,12.6,0.0,10.0,65.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Lublin,2020-12-04,3.2,-4.5,1.7,27.7,0.0,10.0,82.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Lublin,2019-03-15,7.4,3.0,5.9,25.9,5.2,9.0,74.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Lodz,2016-11-26,4.1,0.2,1.6,19.4,0.0,10.0,73.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Bialystok,2016-10-20,6.4,4.5,5.9,19.8,0.9,8.0,83.0,0.0,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png
Rawicz,2016-11-04,8.4,0.9,5.5,12.2,0.1,10.0,80.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Bialystok,2017-05-10,9.0,-2.5,6.1,16.2,1.8,7.4,67.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Lodz,2016-12-25,3.4,1.8,2.7,25.9,3.8,7.3,95.0,0.0,Patchy moderate snow,//cdn.weatherapi.com/weather/64x64/day/329.png
Lublin,2017-11-08,7.3,1.9,5.2,21.6,0.2,10.0,78.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Gostyn,2020-03-28,16.0,4.6,11.9,10.4,0.0,10.0,65.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Lublin,2017-04-08,10.7,2.7,8.0,15.8,0.4,7.4,75.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Kutno,2017-03-16,6.4,1.8,4.5,24.5,0.1,10.0,83.0,0.0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
Bialystok,2017-05-05,18.7,10.4,15.0,18.7,12.1,8.1,85.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Bialystok,2020-03-08,4.8,4.1,4.6,15.1,1.9,5.9,86.0,0.0,Light sleet,//cdn.weatherapi.com/weather/64x64/day/317.png
Wroclaw,2017-11-24,12.9,6.2,9.7,19.1,0.8,10.0,71.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Rawicz,2018-03-19,0.8,-7.0,-2.2,19.4,0.0,10.0,52.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Plock,2018-11-19,4.2,2.5,3.5,25.2,1.0,8.5,80.0,0.0,Moderate snow,//cdn.weatherapi.com/weather/64x64/day/332.png
Rawicz,2018-11-10,13.7,6.6,10.2,18.0,0.0,9.0,83.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Rawicz,2018-04-10,22.1,11.0,18.5,18.7,3.8,9.6,68.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Szczecin,2020-02-10,8.5,3.4,7.3,42.5,14.2,8.1,72.0,0.0,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png
Gostyn,2020-11-21,4.9,-0.8,2.8,19.1,0.0,9.0,79.0,0.0,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Lublin,2017-03-01,7.5,2.8,6.5,15.1,2.9,4.6,88.0,0.0,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png
Szczecin,2018-04-29,21.2,10.5,17.9,19.1,0.3,10.0,65.0,0.0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
Gostyn,2020-04-21,13.4,2.8,10.1,23.4,0.0,10.0,71.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Wroclaw,2020-10-21,14.6,7.2,12.0,16.6,0.0,10.0,71.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Krotoszyn,2019-06-14,25.5,17.8,23.6,12.2,2.4,8.8,83.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Wroclaw,2018-08-03,31.6,22.2,29.4,7.9,6.4,9.6,61.0,0.0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png
Krotoszyn,2019-06-01,23.7,13.9,22.2,7.6,0.9,8.8,75.0,0.0,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png
Belchatow,2019-02-08,3.5,0.3,1.8,26.6,0.0,10.0,87.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
Lodz,2018-09-07,25.9,15.3,22.9,4.7,0.0,10.0,60.0,0.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
